"row_id","participant_id","analysis_weight","T","Y","M","C"
"114","px_535369b734b7cb64","0.00806451612903226","2","1","1","quality_low"
"115","px_535369b734b7cb64","0.00806451612903226","1","2","2","quality_low"
"116","px_535369b734b7cb64","0.00806451612903226","2","1","2","quality_high"
"117","px_535369b734b7cb64","0.00806451612903226","1","2","2","quality_low"
"118","px_535369b734b7cb64","0.00806451612903226","2","2","2","quality_low"
"119","px_535369b734b7cb64","0.00806451612903226","2","3","1","quality_low"
"120","px_535369b734b7cb64","0.00806451612903226","1","2","1","quality_low"
"121","px_535369b734b7cb64","0.00806451612903226","2","2","1","quality_low"
"122","px_535369b734b7cb64","0.00806451612903226","2","1","1","quality_high"
"123","px_535369b734b7cb64","0.00806451612903226","1","2","1","quality_high"
"124","px_535369b734b7cb64","0.00806451612903226","2","2","2","quality_high"
"125","px_02a8787a5fffa82a","0.0075187969924812","2","2","1","quality_low"
"126","px_02a8787a5fffa82a","0.0075187969924812","2","1","3","quality_low"
"127","px_02a8787a5fffa82a","0.0075187969924812","1","2","3","quality_low"
"128","px_02a8787a5fffa82a","0.0075187969924812","2","2","3","quality_low"
"129","px_02a8787a5fffa82a","0.0075187969924812","2","3","3","quality_low"
"130","px_02a8787a5fffa82a","0.0075187969924812","3","1","3","quality_low"
"131","px_02a8787a5fffa82a","0.0075187969924812","1","2","3","quality_low"
"132","px_02a8787a5fffa82a","0.0075187969924812","2","1","2","quality_low"
"133","px_02a8787a5fffa82a","0.0075187969924812","1","1","3","quality_low"
"134","px_02a8787a5fffa82a","0.0075187969924812","1","1","3","quality_high"
"135","px_02a8787a5fffa82a","0.0075187969924812","1","2","3","quality_high"
"136","px_02a8787a5fffa82a","0.0075187969924812","2","2","3","quality_high"
"137","px_02a8787a5fffa82a","0.0075187969924812","2","2","2","quality_low"
"138","px_02a8787a5fffa82a","0.0075187969924812","2","2","2","quality_low"
"139","px_02a8787a5fffa82a","0.0075187969924812","2","3","3","quality_low"
"140","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_low"
"141","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_low"
"142","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_low"
"143","px_02a8787a5fffa82a","0.0075187969924812","3","2","3","quality_high"
"144","px_02a8787a5fffa82a","0.0075187969924812","2","2","3","quality_high"
"145","px_02a8787a5fffa82a","0.0075187969924812","2","1","3","quality_low"
"146","px_02a8787a5fffa82a","0.0075187969924812","1","3","3","quality_low"
"147","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_high"
"148","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_high"
"149","px_02a8787a5fffa82a","0.0075187969924812","3","2","3","quality_low"
"150","px_02a8787a5fffa82a","0.0075187969924812","2","3","3","quality_low"
"151","px_02a8787a5fffa82a","0.0075187969924812","3","2","2","quality_low"
"152","px_02a8787a5fffa82a","0.0075187969924812","2","3","2","quality_low"
"153","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_high"
"154","px_02a8787a5fffa82a","0.0075187969924812","3","2","3","quality_high"
"155","px_02a8787a5fffa82a","0.0075187969924812","2","3","3","quality_high"
"156","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_high"
"157","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_high"
"158","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_low"
"159","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_high"
"160","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_low"
"161","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_low"
"162","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_low"
"163","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_low"
"164","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_low"
"165","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_low"
"166","px_02a8787a5fffa82a","0.0075187969924812","3","3","2","quality_low"
"167","px_02a8787a5fffa82a","0.0075187969924812","3","3","2","quality_low"
"168","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_high"
"169","px_02a8787a5fffa82a","0.0075187969924812","3","2","3","quality_high"
"170","px_02a8787a5fffa82a","0.0075187969924812","2","3","2","quality_low"
"171","px_02a8787a5fffa82a","0.0075187969924812","3","2","3","quality_low"
"172","px_02a8787a5fffa82a","0.0075187969924812","2","2","3","quality_high"
"173","px_02a8787a5fffa82a","0.0075187969924812","2","3","3","quality_low"
"174","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_low"
"175","px_02a8787a5fffa82a","0.0075187969924812","3","2","3","quality_high"
"176","px_02a8787a5fffa82a","0.0075187969924812","2","3","3","quality_high"
"177","px_02a8787a5fffa82a","0.0075187969924812","3","3","2","quality_high"
"178","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_low"
"179","px_02a8787a5fffa82a","0.0075187969924812","3","2","3","quality_low"
"180","px_02a8787a5fffa82a","0.0075187969924812","2","2","1","quality_low"
"181","px_02a8787a5fffa82a","0.0075187969924812","2","2","3","quality_low"
"182","px_02a8787a5fffa82a","0.0075187969924812","2","2","3","quality_low"
"183","px_02a8787a5fffa82a","0.0075187969924812","2","3","3","quality_high"
"184","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_high"
"185","px_02a8787a5fffa82a","0.0075187969924812","3","2","3","quality_low"
"186","px_02a8787a5fffa82a","0.0075187969924812","2","3","3","quality_high"
