"alpha","eta","delta","compatible","minimum_canonical_coordinate","negative_coordinate_count","observable_witness_bits","conditional_entropy_y_given_t_c_bits","sharp_lower_bits","sharp_upper_bits","lower_minus_witness_bits","design_id"
0.01,0.05,0.0025,FALSE,-0.00275316047085743,3,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.02,0.05,0.0025,FALSE,-0.00291289558926207,5,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.05,0.05,0.0025,FALSE,-0.0112505504666104,9,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0,0,0.005,TRUE,0.000133073594319894,0,0.00931938944898363,0.344913562819948,0.00960745709568555,0.344913562819948,0.000288067646701924,"age2_M2_T4"
0.0025,0,0.005,TRUE,0.000100733692352387,0,0.00931938944898363,0.344913562819948,0.00960745709568555,0.319701696927014,0.000288067646701924,"age2_M2_T4"
0.005,0,0.005,TRUE,6.80671247084399e-05,0,0.00931938944898363,0.344913562819948,0.00960745709568555,0.299498870486154,0.000288067646701924,"age2_M2_T4"
0.01,0,0.005,FALSE,-3.50148913976818e-05,1,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.02,0,0.005,FALSE,-0.0015263420224348,3,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.05,0,0.005,FALSE,-0.0109698616010089,7,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0,0.0025,0.005,TRUE,0.000129226171205778,0,0.00931938944898363,0.344913562819948,0.0097841842661386,0.344913562819948,0.00046479481715498,"age2_M2_T4"
0.0025,0.0025,0.005,TRUE,9.72518895850989e-05,0,0.00931938944898363,0.344913562819948,0.0097841842661386,0.319701696927014,0.00046479481715498,"age2_M2_T4"
0.005,0.0025,0.005,TRUE,6.49546354227968e-05,0,0.00931938944898363,0.344913562819948,0.0097841842661386,0.299498870486154,0.00046479481715498,"age2_M2_T4"
0.01,0.0025,0.005,FALSE,-3.79339076376457e-05,2,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.02,0.0025,0.005,FALSE,-0.00153182197615306,3,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.05,0.0025,0.005,FALSE,-0.0109850694310055,7,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0,0.005,0.005,TRUE,0.000125339885231924,0,0.00931938944898363,0.344913562819948,0.00996980259071801,0.344913562819948,0.000650413141734384,"age2_M2_T4"
0.0025,0.005,0.005,TRUE,9.37349170928892e-05,0,0.00931938944898363,0.344913562819948,0.00996980259071801,0.319701696927014,0.000650413141734384,"age2_M2_T4"
0.005,0.005,0.005,TRUE,6.18107068514401e-05,0,0.00931938944898363,0.344913562819948,0.00996980259071801,0.299498870486154,0.000650413141734384,"age2_M2_T4"
0.01,0.005,0.005,FALSE,-4.08824088901345e-05,2,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.02,0.005,0.005,FALSE,-0.00153735728293917,3,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.05,0.005,0.005,FALSE,-0.0110004308754465,7,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0,0.01,0.005,TRUE,0.00011744834534624,0,0.00931938944898363,0.344913562819948,0.0103725845691779,0.344913562819948,0.00105319512019427,"age2_M2_T4"
